filename,cost,time (s),optimality gap (%)
tsp5-1,209,0.00011,0.0
tsp5-2,264,0.00006,0.0
tsp5-3,265,0.00006,0.0
tsp5-4,171,0.00006,0.0
tsp5-5,221,0.00006,0.0
tsp5-6,214,0.00006,0.0
tsp5-7,189,0.00016,0.0
tsp5-8,250,0.00006,0.0
tsp5-9,252,0.00006,0.0
tsp5-10,273,0.00005,0.0
tsp5-11,129,0.00005,0.0
tsp5-12,125,0.00006,0.0
tsp5-13,259,0.00006,0.0
tsp5-14,216,0.00006,0.0
tsp5-15,251,0.00006,0.0
tsp5-16,279,0.00006,0.0
tsp5-17,197,0.00006,0.0
tsp5-18,266,0.00005,0.0
tsp5-19,211,0.00006,0.0
tsp5-20,169,0.00006,0.0
tsp5-21,185,0.00005,0.0
tsp5-22,245,0.00006,0.0
tsp5-23,233,0.00005,0.0
tsp5-24,243,0.00006,0.0
tsp5-25,204,0.00005,0.0
tsp5-26,248,0.00005,0.0
tsp5-27,242,0.00005,0.0
tsp5-28,202,0.00006,0.0
tsp5-29,248,0.00005,0.0
tsp5-30,140,0.00006,0.0
tsp5-31,249,0.00006,0.0
tsp5-32,184,0.00006,0.0
tsp5-33,152,0.00006,0.0
tsp5-34,234,0.00006,0.0
tsp5-35,155,0.00006,0.0
tsp5-36,200,0.00005,0.0
tsp5-37,250,0.00006,0.0
tsp5-38,221,0.00005,0.0
tsp5-39,265,0.00005,0.0
tsp5-40,204,0.00005,0.0
tsp5-41,232,0.00005,0.0
tsp5-42,220,0.00005,0.0
tsp5-43,180,0.00005,0.0
tsp5-44,213,0.00005,0.0
tsp5-45,231,0.00006,0.0
tsp5-46,207,0.00005,0.0
tsp5-47,176,0.00006,0.0
tsp5-48,264,0.00005,0.0
tsp5-49,170,0.00005,0.0
tsp5-50,188,0.00005,0.0
Mean,215.9,0.00006,0.0
