filename,cost,time (s),optimality gap (%)
tsp10-1,401,0.00028,28.525641025641026
tsp10-2,331,0.00031,2.1604938271604937
tsp10-3,323,0.00030,10.996563573883162
tsp10-4,315,0.00031,2.6058631921824107
tsp10-5,304,0.00030,13.857677902621724
tsp10-6,265,0.00031,3.9215686274509802
tsp10-7,410,0.00031,5.3984575835475574
tsp10-8,351,0.00030,10.031347962382444
tsp10-9,343,0.00031,3.313253012048193
tsp10-10,305,0.00030,4.09556313993174
tsp10-11,335,0.00030,19.217081850533805
tsp10-12,270,0.00030,11.570247933884298
tsp10-13,333,0.00030,29.069767441860467
tsp10-14,327,0.00031,6.1688311688311686
tsp10-15,352,0.00031,10.69182389937107
tsp10-16,273,0.00032,6.640625
tsp10-17,296,0.00031,17.928286852589643
tsp10-18,308,0.00031,16.22641509433962
tsp10-19,264,0.00031,4.761904761904762
tsp10-20,244,0.00031,22.613065326633166
tsp10-21,404,0.00031,31.16883116883117
tsp10-22,325,0.00031,2.848101265822785
tsp10-23,277,0.00030,1.094890510948905
tsp10-24,275,0.00030,11.788617886178862
tsp10-25,283,0.00031,9.266409266409266
tsp10-26,325,0.00028,4.501607717041801
tsp10-27,259,0.00027,0.0
tsp10-28,320,0.00029,3.225806451612903
tsp10-29,346,0.00028,0.0
tsp10-30,325,0.00028,28.968253968253972
tsp10-31,308,0.00029,4.054054054054054
tsp10-32,325,0.00028,28.968253968253972
tsp10-33,365,0.00027,28.52112676056338
tsp10-34,300,0.00027,11.940298507462686
tsp10-35,288,0.00030,2.127659574468085
tsp10-36,271,0.00027,0.0
tsp10-37,297,0.00028,8.394160583941606
tsp10-38,319,0.00027,7.77027027027027
tsp10-39,377,0.00026,25.666666666666664
tsp10-40,304,0.00027,1.3333333333333335
tsp10-41,292,0.00027,4.285714285714286
tsp10-42,314,0.00027,11.743772241992882
tsp10-43,313,0.00027,8.680555555555555
tsp10-44,326,0.00027,4.823151125401929
tsp10-45,322,0.00030,3.536977491961415
tsp10-46,272,0.00031,6.25
tsp10-47,311,0.00028,0.6472491909385114
tsp10-48,342,0.00028,15.932203389830507
tsp10-49,301,0.00027,9.454545454545455
tsp10-50,283,0.00027,4.428044280442804
Mean,314.38,0.00029,10.224300682945895
