filename,cost,time (s),optimality gap (%)
tsp20-1,390,28.17495,0.0
tsp20-2,366,32.01663,0.0
tsp20-3,397,32.35662,0.0
tsp20-4,428,31.90542,0.0
tsp20-5,325,31.34529,0.0
tsp20-6,340,32.85699,0.0
tsp20-7,407,31.92165,0.0
tsp20-8,370,32.57570,0.0
tsp20-9,308,31.43855,0.0
tsp20-10,402,32.25157,0.0
tsp20-11,369,32.86261,0.0
tsp20-12,440,32.02189,0.0
tsp20-13,370,32.50127,0.0
tsp20-14,417,31.35668,0.0
tsp20-15,380,32.24239,0.0
tsp20-16,420,33.73610,0.0
tsp20-17,373,32.92672,0.0
tsp20-18,412,33.10918,0.0
tsp20-19,359,31.78046,0.0
tsp20-20,382,32.69891,0.0
tsp20-21,451,33.40664,0.0
tsp20-22,329,32.64478,0.0
tsp20-23,374,33.04007,0.0
tsp20-24,436,33.37726,0.0
tsp20-25,380,32.49793,0.0
tsp20-26,381,32.33265,0.0
tsp20-27,406,32.91759,0.0
tsp20-28,403,32.09576,0.0
tsp20-29,373,32.47244,0.0
tsp20-30,412,32.28922,0.0
tsp20-31,393,31.45768,0.0
tsp20-32,390,32.34891,0.0
tsp20-33,347,32.94300,0.0
tsp20-34,392,32.08602,0.0
tsp20-35,396,32.49494,0.0
tsp20-36,412,32.43061,0.0
tsp20-37,408,31.43386,0.0
tsp20-38,324,32.27965,0.0
tsp20-39,347,32.98813,0.0
tsp20-40,383,32.11737,0.0
tsp20-41,373,32.53449,0.0
tsp20-42,457,32.38956,0.0
tsp20-43,394,31.44611,0.0
tsp20-44,348,32.41304,0.0
tsp20-45,431,33.51235,0.0
tsp20-46,382,32.58293,0.0
tsp20-47,369,32.50157,0.0
tsp20-48,362,32.40293,0.0
tsp20-49,357,31.41765,0.0
tsp20-50,340,32.36186,0.0
Mean,384.1,32.30593,0.0
