filename,cost,time (s),optimality gap (%)
tsp20-1,462,4.90267,18.461538461538463
tsp20-2,519,4.60428,41.80327868852459
tsp20-3,628,5.73115,58.18639798488665
tsp20-4,529,4.70623,23.598130841121495
tsp20-5,373,6.13857,14.76923076923077
tsp20-6,565,4.81080,66.17647058823529
tsp20-7,486,7.26619,19.41031941031941
tsp20-8,507,4.70881,37.027027027027025
tsp20-9,332,4.90821,7.792207792207792
tsp20-10,442,44.02782,9.950248756218906
tsp20-11,431,4.70807,16.802168021680217
tsp20-12,508,6.44825,15.454545454545453
tsp20-13,443,4.70682,19.72972972972973
tsp20-14,579,4.39659,38.84892086330935
tsp20-15,509,4.91256,33.94736842105263
tsp20-16,601,8.70122,43.095238095238095
tsp20-17,461,4.70651,23.59249329758713
tsp20-18,493,5.62936,19.66019417475728
tsp20-19,571,4.60375,59.05292479108635
tsp20-20,389,11.25991,1.832460732984293
tsp20-21,619,6.65478,37.250554323725055
tsp20-22,482,6.44538,46.504559270516715
tsp20-23,473,8.82706,26.47058823529412
tsp20-24,508,6.73003,16.51376146788991
tsp20-25,467,6.85808,22.894736842105264
tsp20-26,483,9.11316,26.77165354330709
tsp20-27,436,16.68283,7.389162561576355
tsp20-28,496,11.46678,23.076923076923077
tsp20-29,468,6.18267,25.46916890080429
tsp20-30,487,7.53488,18.203883495145632
tsp20-31,495,6.64878,25.954198473282442
tsp20-32,433,7.84258,11.025641025641026
tsp20-33,402,6.48681,15.85014409221902
tsp20-34,548,5.52531,39.795918367346935
tsp20-35,467,11.05645,17.929292929292927
tsp20-36,574,7.93482,39.32038834951456
tsp20-37,616,5.82496,50.98039215686274
tsp20-38,420,5.04534,29.629629629629626
tsp20-39,422,6.05840,21.613832853025936
tsp20-40,498,9.82630,30.026109660574413
tsp20-41,496,5.32721,32.975871313672926
tsp20-42,592,4.49614,29.540481400437635
tsp20-43,459,6.86360,16.49746192893401
tsp20-44,376,4.91124,8.045977011494253
tsp20-45,564,6.65306,30.8584686774942
tsp20-46,455,5.15099,19.10994764397906
tsp20-47,486,4.56574,31.70731707317073
tsp20-48,482,5.22080,33.14917127071823
tsp20-49,439,5.73345,22.969187675070028
tsp20-50,403,6.27525,18.529411764705884
Mean,487.48,7.31641,26.904894578312696
