filename,cost,time (s),optimality gap (%)
tsp20-1,1021,0.00214,161.7948717948718
tsp20-2,1046,0.00239,185.79234972677597
tsp20-3,1108,0.00214,179.09319899244332
tsp20-4,1068,0.00239,149.53271028037383
tsp20-5,901,0.00215,177.23076923076923
tsp20-6,973,0.00215,186.1764705882353
tsp20-7,1072,0.00230,163.3906633906634
tsp20-8,1139,0.00213,207.8378378378378
tsp20-9,896,0.00235,190.9090909090909
tsp20-10,1089,0.00212,170.8955223880597
tsp20-11,788,0.00216,113.55013550135502
tsp20-12,1144,0.00215,160.0
tsp20-13,1144,0.00218,209.1891891891892
tsp20-14,1211,0.00231,190.40767386091127
tsp20-15,1034,0.00222,172.10526315789474
tsp20-16,1029,0.00211,145.0
tsp20-17,1114,0.00226,198.65951742627345
tsp20-18,863,0.00217,109.46601941747574
tsp20-19,1165,0.00234,224.5125348189415
tsp20-20,1063,0.00217,178.2722513089005
tsp20-21,1044,0.00242,131.48558758314857
tsp20-22,1128,0.00213,242.85714285714283
tsp20-23,992,0.00219,165.24064171122996
tsp20-24,1148,0.00212,163.30275229357798
tsp20-25,1066,0.00221,180.5263157894737
tsp20-26,1163,0.00238,205.249343832021
tsp20-27,998,0.00219,145.8128078817734
tsp20-28,1080,0.00214,167.99007444168734
tsp20-29,1097,0.00222,194.10187667560322
tsp20-30,1058,0.00212,156.79611650485435
tsp20-31,923,0.00231,134.86005089058523
tsp20-32,843,0.00212,116.15384615384616
tsp20-33,1013,0.00229,191.9308357348703
tsp20-34,915,0.00212,133.41836734693877
tsp20-35,1025,0.00217,158.83838383838383
tsp20-36,1359,0.00213,229.85436893203882
tsp20-37,1185,0.00219,190.44117647058823
tsp20-38,983,0.00231,203.39506172839506
tsp20-39,945,0.00217,172.3342939481268
tsp20-40,1009,0.00217,163.44647519582244
tsp20-41,969,0.00226,159.78552278820374
tsp20-42,1265,0.00213,176.80525164113786
tsp20-43,1293,0.00235,228.1725888324873
tsp20-44,926,0.00212,166.09195402298852
tsp20-45,1008,0.00221,133.87470997679813
tsp20-46,1071,0.00213,180.36649214659687
tsp20-47,1057,0.00219,186.44986449864498
tsp20-48,993,0.00226,174.30939226519337
tsp20-49,1013,0.00216,183.75350140056022
tsp20-50,906,0.00229,166.47058823529412
Mean,1046.86,0.00221,173.55862910876155
