filename,cost,time (s),optimality gap (%)
tsp30-1,1458,1.45158,-
tsp30-10,1441,1.47049,-
tsp30-11,1619,1.43255,-
tsp30-12,1628,1.42385,-
tsp30-13,1495,1.42050,-
tsp30-14,1408,1.46251,-
tsp30-15,1259,1.39655,-
tsp30-16,1533,1.45553,-
tsp30-17,1569,1.52629,-
tsp30-18,1630,1.50756,-
tsp30-19,1538,1.46274,-
tsp30-2,1800,1.44730,-
tsp30-20,1677,1.47795,-
tsp30-21,1362,1.37854,-
tsp30-22,1654,1.56072,-
tsp30-23,1897,1.50650,-
tsp30-24,1672,1.48879,-
tsp30-25,1770,1.48775,-
tsp30-26,1552,1.41893,-
tsp30-27,1543,1.34223,-
tsp30-28,1677,1.40350,-
tsp30-29,1550,1.42819,-
tsp30-3,1620,1.42549,-
tsp30-30,1200,1.41339,-
tsp30-31,1371,1.52349,-
tsp30-32,1762,1.42101,-
tsp30-33,1675,1.48496,-
tsp30-34,1594,1.43082,-
tsp30-35,1964,1.44079,-
tsp30-36,1746,1.50372,-
tsp30-37,1472,1.52466,-
tsp30-38,1790,1.50230,-
tsp30-39,1749,1.48336,-
tsp30-4,1664,1.48146,-
tsp30-40,1474,1.43493,-
tsp30-41,1469,1.45136,-
tsp30-42,1601,1.49868,-
tsp30-43,1332,1.46310,-
tsp30-44,1432,1.41592,-
tsp30-45,1509,1.42464,-
tsp30-46,1629,1.41782,-
tsp30-47,1883,1.47434,-
tsp30-48,1627,1.35024,-
tsp30-49,1633,1.44470,-
tsp30-5,1432,1.40886,-
tsp30-50,1424,1.41582,-
tsp30-6,1551,1.35397,-
tsp30-7,1542,1.43172,-
tsp30-8,1374,1.40502,-
tsp30-9,1814,1.45719,-
Mean,1581.3,1.44869,-
