filename,cost,time (s),optimality gap (%)
tsp5-1,216,0.00006,3.349282296650718
tsp5-2,273,0.00005,3.4090909090909087
tsp5-3,269,0.00005,1.509433962264151
tsp5-4,171,0.00005,0.0
tsp5-5,221,0.00005,0.0
tsp5-6,214,0.00005,0.0
tsp5-7,189,0.00005,0.0
tsp5-8,271,0.00005,8.4
tsp5-9,252,0.00006,0.0
tsp5-10,273,0.00005,0.0
tsp5-11,129,0.00006,0.0
tsp5-12,125,0.00005,0.0
tsp5-13,259,0.00005,0.0
tsp5-14,216,0.00005,0.0
tsp5-15,255,0.00005,1.593625498007968
tsp5-16,280,0.00005,0.35842293906810035
tsp5-17,210,0.00005,6.598984771573605
tsp5-18,293,0.00005,10.150375939849624
tsp5-19,211,0.00005,0.0
tsp5-20,187,0.00005,10.650887573964498
tsp5-21,185,0.00005,0.0
tsp5-22,247,0.00005,0.8163265306122449
tsp5-23,239,0.00005,2.575107296137339
tsp5-24,243,0.00005,0.0
tsp5-25,204,0.00005,0.0
tsp5-26,279,0.00005,12.5
tsp5-27,252,0.00005,4.132231404958678
tsp5-28,202,0.00005,0.0
tsp5-29,248,0.00005,0.0
tsp5-30,140,0.00006,0.0
tsp5-31,249,0.00006,0.0
tsp5-32,192,0.00005,4.3478260869565215
tsp5-33,152,0.00005,0.0
tsp5-34,266,0.00006,13.675213675213676
tsp5-35,155,0.00005,0.0
tsp5-36,208,0.00006,4.0
tsp5-37,271,0.00005,8.4
tsp5-38,232,0.00005,4.97737556561086
tsp5-39,277,0.00005,4.528301886792453
tsp5-40,204,0.00005,0.0
tsp5-41,243,0.00005,4.741379310344827
tsp5-42,220,0.00005,0.0
tsp5-43,180,0.00005,0.0
tsp5-44,213,0.00005,0.0
tsp5-45,231,0.00005,0.0
tsp5-46,207,0.00005,0.0
tsp5-47,200,0.00005,13.636363636363635
tsp5-48,264,0.00005,0.0
tsp5-49,170,0.00005,0.0
tsp5-50,202,0.00005,7.446808510638298
Mean,221.78,0.00005,2.6359407558819625
